No,Client,Periode,Date fichier,Heures,Taux,Sous-total,TPS,TVQ,Total,Fichier
1,Bisson Expert,1-15 Fevr. 2026,2026-02-15,11.5,100,1150.00,0.00,0.00,1150.00,Bisson Expert - 02-15-2026 - Invoice 1.pdf
2,Bisson Expert,16-28 Fevr. 2026,2026-02-28,11.5,100,1150.00,0.00,0.00,1150.00,Bisson Expert - 02-28-2026 - Invoice 2.pdf
3,Bisson Expert,1-15 Mars 2026,2026-03-15,21.5,100,2150.00,0.00,0.00,2150.00,Bisson Expert - 03-15-2026 - Invoice 3.pdf
4,Bisson Expert,16-31 Mars 2026,2026-03-31,26.25,100,2625.00,0.00,0.00,2625.00,Bisson Expert - 03-31-2026 - Invoice 4.pdf
5,Bisson Expert,1-15 Avril 2026,2026-04-15,38.25,100,3825.00,0.00,0.00,3825.00,Bisson Expert - 04-15-2026 - Invoice 5.pdf
6,Bisson Expert,16-30 Avril 2026,2026-04-30,48,100,4800.00,0.00,0.00,4800.00,Bisson Expert - 04-30-2026 - Invoice 6.pdf
7,Bisson Expert,1-15 Mai 2026,2026-05-15,40,100,4000.00,0.00,0.00,4000.00,Bisson Expert - 05-15-2026 - Invoice 7.pdf
8,Bisson Expert,16-31 Mai 2026,2026-05-31,23,100,2300.00,0.00,0.00,2300.00,Bisson Expert - 05-31-2026 - Invoice 8.pdf
9,"Bisson Expert","1–15 Juin. 2026","15 juin 2026",18.5,100,"1 850,00 $","92,50 $","184,54 $","2 127,04 $","Bisson Expert - 06-15-2026 - Invoice 9.pdf"
10,"Bisson Expert","16–30 Juin. 2026","18 juin 2026",8.75,100,"875,00 $","43,75 $","87,28 $","1 006,03 $","Bisson Expert - 06-30-2026 - Invoice 10.pdf"
11,"Bisson Expert","1–15 Juil. 2026","16 juillet 2026",43.75,100,"4 375,00 $","218,75 $","436,41 $","5 030,16 $","Bisson Expert - 07-15-2026 - Invoice 11.pdf"
